Sentences,Broken Sentences,OpinionTerm1,Predicted Opinion Term 1,Aspect Category1,AspectPolarity1 ,OpinionTerm2,Predicted Opinion Term 2,Aspect Category2,Aspectpolarity2
Very good & professional services.,"['Very good ', ' professional services']",good,very good,Company_Service,Positive,professional,professional services,service_person_attitude,positive
Good for home services,['Good for home services'],good,for home,Company_Service,Positive,,,,
Nice service with nominal prices,"['Nice service ', ' nominal prices']",nice service,nice service,Company_Service,Positive,nominal,nominal prices,cost,Positive
"Very bad Service, unskilled Employees","['Very bad Service', ' unskilled Employees']",bad service,bad service,Company_Service,negative ,unskilled employees,unskilled employees,service_quality,negative 
Good for professional home service's,"['Good ', "" professional home service's""]",good,,Company_Service,Positive,,professional home,,
Worst service,['Worst service'],worst service,worst service,Company_Service,negative ,,,,
Amazing service and total professionalism,"['Amazing service ', ' total professionalism']",amazing service,amazing service,Company_Service,Positive,total professionalism,total professionalism,service_person_attitude,Positive
good professional service,['good professional service'],good professional,good professional,Company_Service,Positive,,,,
Poor service,['Poor service'],poor service,poor service,Company_Service,negative ,,,,
Good Service,['Good Service'],good service,good service,Company_Service,negative ,,,,
perfect service,['perfect service'],perfect service,perfect service,Company_Service,Positive,,,,
Worst service ever.,['Worst service ever'],worst service,worst service,Company_Service,negative ,,,,
Women salon service is good,"['Women salon', 'service is good']",good,,Company_Service,Positive,,is good,,
excellent service,['excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Steps of facial were good and relaxing.,"['Steps of facial were good ', ' relaxing']",good relaxing,of facial,service_quality,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
well trained professional and service by UC.,"['well trained professional ', ' service by UC']",trained professional,trained professional,service_quality,Positive,,by uc,,
Very bad service,['Very bad service'],bad service,bad service,Company_Service,negative ,,,,
great services provided by Urban clap,"['great services provided ', ' Urban clap']",great services,great services,Company_Service,Positive,,urban clap,,
Pathetic service...,['Pathetic service'],pathetic service,pathetic service,Company_Service,negative ,,,,
Above excellence! really liked the service,"['Above excellence', '! really liked the service']",above excellence,above excellence,Company_Service,Positive,,the service,,
Thanks shabnam very good service and thanks trainer to UC,"['Thanks shabnam very good service ', ' thanks trainer to UC']",good service,good service,Company_Service,Positive,thanks trainer to uc,,Company_Service,negative 
very good service,['very good service'],good service,good service,Company_Service,Positive,,,,
Very nice ur service engineer..Mr. Bhikham Singh,"['Very nice ur service engineer', 'Mr. Bhikham Singh']",service engineer,ur service,service_quality,Positive,,mr. bhikham,,
Good service and Timely Did it,"['Good service ', ' Timely Did it']",good service,good service,Company_Service,Positive,timely,,service_schedule,Positive
professional services,['professional services'],professional services,professional services,Company_Service,Positive,,,,
Good service,['Good service'],good service,good service,Company_Service,Positive,,,,
giving wrong information about services,"['giving wrong information', 'about services']",wrong information,wrong information,service_schedule,negative ,,about services,,
best service,['best service'],best service,best service,Company_Service,Positive,,,,
very good service provided,['very good service provided'],good service,good service,service_quality,Positive,,,,
3rd class service,['3rd class service'],3rd class,3rd class,Company_Service,negative ,,,,
Till now... Very good service provided,"['Till now', '. Very good service provided']",good service,,Company_Service,Positive,,good service,,
Good Service,['Good Service'],good service,good service,Company_Service,Positive,,,,
One stop shop for all your household maintenance needs.,"['One stop shop ', ' all your household maintenance needs']",one stop shop,one stop,Company_Service,Positive,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
Excellent job done,['Excellent job done'],excellent job,excellent job,service_quality,Positive,,,,
Disgusting experience,['Disgusting experience'],disgusting experience,disgusting experience,Company_Service,negative ,,,,
very very good service,['very very good service'],good service,good service,Company_Service,Positive,,,,
Great service,['Great service'],great service,great service,Company_Service,Positive,,,,
Very good work,['Very good work'],very good work,good work,Company_Service,Positive,,,,
Best Service,['Best Service'],best service,best service,Company_Service,Positive,,,,
good service,['good service'],good service,good service,Company_Service,Positive,,,,
Good services,['Good services'],good services,good services,Company_Service,Positive,,,,
Good service urban company,['Good service urban company'],good service,good service,Company_Service,Positive,,,,
No Professional  are there,['No Professional are there'],no professional,no professional,service_quality,negative ,,,,
Nice service,['Nice service'],nice service,nice service,Company_Service,Positive,,,,
very poor service,['very poor service'],poor service,poor service,Company_Service,negative ,,,,
Very bad experience for company,"['Very bad experience ', ' company']",bad experience,bad experience,Company_Service,negative ,,,,
Excellent service,['Excellent service'],excellent service,excellent service,Company_Service,Positive,,,,
Very happy after getting your service.,"['Very happy after getting your service', '']",happy,,service_quality,Positive,,,,
"Third class service team, third class company","['Third class service team', ' third class company']",third class service,third class,Company_Service,negative ,third class,third class,Company_Service,negative 
